reference	Nr	PlantNaam	Licht	Vochtigheid	Plantdichtheid	Habitat	Kleur	Hooghte	bladhooghte	bloei	
1622880882-8412	1	Pennisetum thunberghii 'Red Buttons'	zon              	droog             afdekken    	aantal  : 7 tot 10 per m2	Droge bodem met grind (GR1)     Open plaatsen met droge bodem (OP1)     Stenige, droge bodem (ST1)          extra informatie               snijbloem	rood    	 70 cm  	    40 cm  	    40 cm  	  8-10
1622882986-12441	2	Calamagrostis acutiflora (x) 'England'	zon              	droog fris                	aantal  : 2 tot 4 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem	geel    	100 cm  	    70 cm  	    70 cm  	  8-10
1622882992-12455	3	Mentha requienii	zon   half schaduw             	vochtig                	aantal  : 8 tot 12 per m2  - in kleine groepjes van 3 tot 10 stuks (B)	Open plaatsen met vochtige bodem (OP3)          extra informatie       Woekerend         bladhoudend  Aromatisch   vlinderplant nectar  bijenplant	lila    	  1 cm  	     1 cm  	     1 cm  	  7- 9
1622883235-13062	4	Digitalis laevigata 'Alba'	zon   half schaduw             	fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Open plaatsen met frisse bodem (OP2B)          extra informatie       Uitzaaiend         bladhoudend  snijbloem  bijenplant                                                                                                New	wit    	 80 cm  	    40 cm  	    40 cm  	  6- 8
1622883514-13780	5	Echinacea purpurea DELICIOUS CANDY®	zon              	droog fris                	aantal  : 8 tot 12 per m2  - in kleine groepjes van 3 tot 10 stuks (B)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	roze    	 70 cm  	    30 cm  	    30 cm  	  7- 9
1622880616-7853	6	Stachys grandiflora (macrantha) 'Superba'	zon   half schaduw             	fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  bijenplant	paars    	 50 cm  	    30 cm  	    30 cm  	  7- 8
1622879714-5874	7	Thalictrum aquilegifolium	zon   half schaduw             	fris vochtig                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met vochtige bodem (OP3)          extra informatie               snijbloem  bijenplant	lila    	120 cm  	    60 cm  	    60 cm  	  6- 7
1622881790-10262	8	Stokesia laevis 'Klaus Jelitto'	zon              	droog fris             afdekken    	aantal  : 8 tot 12 per m2	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)          extra informatie               bladhoudend  snijbloem	lila    	 45 cm  	    20 cm  	    20 cm  	  8-11
1622884103-15014	9	Potentilla atrosanguinea	zon   half schaduw             	fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               bijenplant	rood    	 60 cm  	    30 cm  	    30 cm  	  6- 7
1622884589-16229	10	Campanula glomerata 'Superba'	zon   half schaduw             	droog fris                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Stenige, droge bodem (ST1)     Stenige, frisse bodem (ST2)          extra informatie       Licht woekerend         snijbloem  bijenplant	violet    	 60 cm  	    40 cm  	    40 cm  	  6- 8
